Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
08.11.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
07.11.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
06.11.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
05.11.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
04.11.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
01.11.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
31.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
30.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
29.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
28.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
25.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
24.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
22.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
21.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
18.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
17.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
16.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
15.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
14.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
10.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
09.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
08.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
07.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
04.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
03.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
02.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
01.10.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
30.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
27.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
26.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
25.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
24.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
23.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
20.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
19.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
18.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
17.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
16.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
13.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
12.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
11.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
10.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
06.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
05.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
04.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
03.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
02.09.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
30.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
29.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
27.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
26.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
23.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
22.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
21.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
20.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
19.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
16.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
15.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
14.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
13.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
12.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
09.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
08.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
07.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
06.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
05.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
01.08.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
31.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
30.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
29.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
26.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
25.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
24.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
23.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
22.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
19.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
18.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
17.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
16.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
15.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
12.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
11.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
10.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
09.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
08.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
05.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
04.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
03.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
02.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
01.07.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
28.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
27.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
26.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
25.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
24.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
20.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
19.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
18.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
17.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
14.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
13.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
12.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
11.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
10.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
07.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
06.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
05.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
04.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
03.06.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
31.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
30.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
29.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
28.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
27.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
23.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
22.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
21.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
20.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
17.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
16.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
15.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
14.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
13.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
10.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
09.05.2024,"4,00",nan,nan,"4,00","0,00","0,00","0,00","0,00"
